Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538165950672,1834909249179520,0.22584295,-0.094811425,0.19601464
android.sensor.gyroscope,1538165950673,1834909269240303,0.07670138,-0.039415985,0.091615535
android.sensor.gyroscope,1538165950684,1834909289364420,-0.05113425,-0.25673655,0.0010652969
android.sensor.gyroscope,1538165950701,1834909308976609,0.10013791,-0.7329243,-0.19707993
android.sensor.gyroscope,1538165950722,1834909328760986,0.4133352,-0.83306223,-0.39629045
android.sensor.gyroscope,1538165950741,1834909348724738,0.50282013,-0.26845482,-0.5582156
android.sensor.gyroscope,1538165950760,1834909368513542,0.4857754,-0.03089361,-0.6796594
android.sensor.gyroscope,1538165950785,1834909388580002,0.61041516,-0.3451562,-0.85756403
android.sensor.gyroscope,1538165950801,1834909408236046,0.71161836,-0.63811284,-0.99392205
android.sensor.gyroscope,1538165950821,1834909428361777,0.5347791,-0.56780326,-1.072754
android.sensor.gyroscope,1538165950841,1834909448072508,0.16512102,-0.26419365,-1.1782184
android.sensor.gyroscope,1538165950861,1834909468154438,0.19601464,-0.17896989,-1.2421362
android.sensor.gyroscope,1538165950880,1834909487819179,0.37072334,-0.6327864,-1.2751604
android.sensor.gyroscope,1538165950903,1834909507907983,0.2801731,-1.374233,-1.3752984
android.sensor.gyroscope,1538165950922,1834909527626423,0.0063917814,-1.8056782,-1.4956769
android.sensor.gyroscope,1538165950943,1834909547708560,-0.21625528,-1.7129974,-1.3507965
android.sensor.gyroscope,1538165950962,1834909567448145,-0.14488038,-2.019803,-1.2890093
android.sensor.gyroscope,1538165950981,1834909587466793,0.1384886,-2.4672277,-1.3657106
android.sensor.gyroscope,1538165951002,1834909607214191,0.32278496,-2.784686,-1.4956769
android.sensor.gyroscope,1538165951023,1834909627289662,0.21945117,-3.4302561,-1.9953011
android.sensor.gyroscope,1538165951042,1834909647101382,0.22264706,-3.1277118,-2.7452703
android.sensor.gyroscope,1538165951063,1834909667073832,0.2737813,-1.5990107,-3.0403574
android.sensor.gyroscope,1538165951081,1834909686935241,0.29189137,-0.9481143,-3.236372
android.sensor.gyroscope,1538165951103,1834909707039513,1.2687687,-1.8397678,-3.9224234
android.sensor.gyroscope,1538165951123,1834909726738890,2.6355445,-2.4991865,-4.556275
android.sensor.gyroscope,1538165951143,1834909746828788,3.0829694,-2.04537,-4.7874446
android.sensor.gyroscope,1538165951162,1834909766373946,2.8241022,-1.9335139,-4.691568
android.sensor.gyroscope,1538165951181,1834909786416917,2.7186377,-2.2690825,-4.4785085
android.sensor.gyroscope,1538165951204,1834909807997232,2.6089122,-2.478946,-4.5605364
android.sensor.gyroscope,1538165951220,1834909826359942,2.3926568,-2.4832072,-4.6905026
android.sensor.gyroscope,1538165951243,1834909846447027,2.4086363,-2.4555094,-4.60954
android.sensor.gyroscope,1538165951263,1834909867828123,2.4235506,-2.2808008,-4.3634562
android.sensor.gyroscope,1538165951279,1834909885494375,2.271213,-2.2797353,-3.878746
android.sensor.gyroscope,1538165951304,1834909907609481,1.9026203,-2.209426,-3.4899127
android.sensor.gyroscope,1538165951319,1834909925216098,1.9846482,-2.106092,-3.2736576
android.sensor.gyroscope,1538165951341,1834909945270006,2.1689446,-2.1774669,-3.0233128
android.sensor.gyroscope,1538165951363,1834909967108185,2.0155418,-1.9601463,-2.697332
android.sensor.gyroscope,1538165951379,1834909985074177,1.8600085,-1.9505587,-2.3915915
android.sensor.gyroscope,1538165951400,1834910004776210,1.904751,-2.0890472,-2.3042374
android.sensor.gyroscope,1538165951423,1834910026994077,2.1487038,-2.1071572,-2.3702857
android.sensor.gyroscope,1538165951440,1834910044784495,2.2626908,-1.9111427,-2.1433775
android.sensor.gyroscope,1538165951459,1834910064835695,2.2115564,-1.7758499,-1.9399058
android.sensor.gyroscope,1538165951481,1834910084546738,2.1795976,-1.9217957,-1.6938221
android.sensor.gyroscope,1538165951503,1834910106591116,2.0613496,-2.0144765,-1.3593189
android.sensor.gyroscope,1538165951519,1834910124314555,1.9239262,-1.9164692,-1.1558472
android.sensor.gyroscope,1538165951541,1834910144384869,1.8972938,-1.7300422,-1.1260189
android.sensor.gyroscope,1538165951560,1834910163874246,1.9761258,-1.7140628,-1.2123079
android.sensor.gyroscope,1538165951579,1834910184207582,2.1806629,-1.8781185,-1.1313454
android.sensor.gyroscope,1538165951600,1834910204436594,2.2722783,-2.0315213,-1.0461216
android.sensor.gyroscope,1538165951619,1834910223722586,2.3116944,-2.1135492,-0.85756403
android.sensor.gyroscope,1538165951640,1834910243718369,2.4491177,-2.2488418,-0.74570787
android.sensor.gyroscope,1538165951659,1834910263743267,2.4342034,-2.0688066,-0.66794115
android.sensor.gyroscope,1538165951678,1834910283462800,2.209426,-1.8216578,-0.57526034
android.sensor.gyroscope,1538165951698,1834910303279885,2.0187378,-1.7492175,-0.4218576
android.sensor.gyroscope,1538165951720,1834910323310669,1.9335139,-1.8110048,-0.24075711
android.sensor.gyroscope,1538165951740,1834910343342181,1.890902,-1.8099395,-0.12463974
android.sensor.gyroscope,1538165951761,1834910362758641,1.862139,-1.7193892,-0.22584295
android.sensor.gyroscope,1538165951778,1834910383097758,1.8504208,-1.8738573,-0.32385027
android.sensor.gyroscope,1538165951797,1834910402541406,1.7801112,-2.0794597,-0.47086126
android.sensor.gyroscope,1538165951818,1834910422605314,1.5489417,-1.8855755,-0.5816521
android.sensor.gyroscope,1538165951837,1834910442328337,1.248528,-1.6149901,-0.5539544
android.sensor.gyroscope,1538165951858,1834910462730318,1.0770152,-1.56066,-0.58058685
android.sensor.gyroscope,1538165951877,1834910482417820,0.81282157,-1.5159175,-0.68498594
android.sensor.gyroscope,1538165951897,1834910502488447,0.6125457,-1.5308317,-0.7670138
android.sensor.gyroscope,1538165951919,1834910522193709,0.56247675,-1.5073951,-0.8671517
android.sensor.gyroscope,1538165951936,1834910542249753,0.49855897,-1.2911398,-1.012032
android.sensor.gyroscope,1538165951955,1834910562180067,0.409074,-1.1462595,-1.1419983
android.sensor.gyroscope,1538165951980,1834910581755226,0.26099774,-1.0130974,-1.1111047
android.sensor.gyroscope,1538165951997,1834910601561373,0.12463974,-0.89165354,-1.1419983
android.sensor.gyroscope,1538165952017,1834910622070907,0.017044751,-0.7638179,-1.2740952
android.sensor.gyroscope,1538165952041,1834910642085596,-0.13209683,-0.56673795,-1.3689066
android.sensor.gyroscope,1538165952059,1834910662197265,-0.2428877,-0.43357584,-1.3806248
android.sensor.gyroscope,1538165952079,1834910682126642,-0.42505348,-0.37178862,-1.3422742
android.sensor.gyroscope,1538165952098,1834910701060081,-0.80323386,-0.11824796,-1.2677033
android.sensor.gyroscope,1538165952118,1834910720840031,-1.140933,0.01384886,-1.1462595
